Run_ID,P_0,P_100,P_200,P_300,P_400,P_500,P_600,P_700,P_800,P_900,P_1000,A_0,A_100,A_200,A_300,A_400,A_500,A_600,A_700,A_800,A_900,A_1000,LeakLabel,Leak_Location
1,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,432618.277636522,424195.562341088,415772.847045653,0.00021090272672224,-0.00106808975025144,0.011045345191461,0.0139858104704761,0.000490419776822477,-0.011646730785387,0.00814156787233699,-0.0102291848990371,-0.000252926273152605,0.0135204965501303,-0.0157288460278811,not leak,NaN
2,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,432618.277636522,424195.562341088,415772.847045653,-0.00271791321325587,-0.0381705408705543,0.0310757799694601,0.0250139403808121,0.00508535797043512,-0.0110458810498999,0.0102168789990643,0.0189131489696396,-0.0129561600770916,-0.0118944824572826,-0.0425555994144571,not leak,NaN
3,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,431870.362534607,423447.647239173,415024.931943738,406602.216648303,-0.00106272031116397,0.0183929276404139,0.0247264697157673,-0.00558052362312006,0.0512232151687024,0.0581826733914051,0.164801483660384,0.464083728612973,0.156375529088957,0.0365894139984979,0.0100436536278589,leak,688.46
4,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,432618.277636522,424195.562341088,415772.847045653,-0.0228152205929903,0.0118332589357372,-0.000828239390350478,0.025055126682757,0.00224296107195978,0.00298175163482298,-0.0191684353079546,0.0112180477212407,0.0217969109752148,-0.0190763603499957,0.00332196120856854,not leak,NaN
5,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,438147.335019362,429724.619723927,421301.904428493,412879.189133058,404456.473837623,-0.00699892663216675,0.000104192084038024,0.0337691217445601,0.0584609693067564,0.124990325299382,0.479774682972952,0.166803196099869,0.00657032418519679,0.0585726731906965,-0.0178638574740898,0.0257159832219891,leak,500.91
6,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,432618.277636522,424195.562341088,415772.847045653,0.00154022081772234,0.00322442237371328,0.0115234165687783,-0.014181059854515,-0.00869407636041998,0.000115140892366845,0.0168765114140841,0.00118309638137533,0.0289616246361608,0.0142578270224757,-0.00349195810420534,not leak,NaN
7,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,437082.764145547,428660.048850113,420237.333554678,411814.618259243,403391.902963809,-0.0116349099591995,0.00238843999114753,0.00603994085717684,0.0514664591979579,0.0684974164836272,0.318116980493279,0.232165055687448,0.0787335856046288,0.0305514463825349,0.0106117582901695,0.0318555722902598,leak,537.37
8,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,432618.277636522,424195.562341088,415772.847045653,-0.00034982916592097,0.00102842013787879,-0.0242366078492819,-0.00272966663696746,0.00117839723875408,0.00496369685217996,0.00704442368544746,0.00782146136236683,0.0260269126452536,-0.0123081461264685,0.00222805811205672,not leak,NaN
9,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,444642.86653349,436220.151238055,427797.435942621,419374.720647186,410952.005351751,402529.290056317,-0.00982419319125725,0.0333948712665966,0.0534175797652823,0.083412466971578,0.27921944311377,0.272632521620433,0.0752782241219911,0.0613719952029444,-0.00199919204166298,0.00964212330082534,0.041430819055809,leak,449.1
10,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,432618.277636522,424195.562341088,400703.312629227,-0.00601310896964299,0.0188884277765221,0.0125939603474575,-0.0505608864196896,0.0529446346818762,0.0133026136906899,0.0167410589031067,0.0611303325919683,0.0741649210172552,0.355235007007983,0.257632071924628,leak,942.37
11,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,432618.277636522,424195.562341088,415772.847045653,0.00503504921857682,-0.000834418072289456,0.0262006950178577,-0.0164989474535724,-0.0074437473099781,-0.00785385462676259,-0.00816616585186899,-0.0498028399466327,0.0153930660585699,0.0285648275714789,0.00389029203277835,not leak,NaN
